ObservationNmb,MaturityMthsQty,"Years Till Maturity"
1506736,83,7
1506785,2,0
1506787,84,7
1506797,12,1
1506834,57,5
1506854,12,1
1506872,40,3
1506876,36,3
1506919,60,5
1506934,24,2
1506965,60,5
1506967,48,4
1506992,7,1
1506997,48,4
1506998,83,7
1507009,15,1
1507010,84,7
1507017,48,4
1507022,47,4
1507024,49,4
1507027,82,7
1507032,6,1
1507035,48,4
1507077,12,1
1507120,84,7
1507134,12,1
1507185,60,5
1507199,60,5
1507203,84,7
1507205,60,5
1507209,60,5
1507229,12,1
1507239,12,1
1507278,71,6
1507288,83,7
1507334,81,7
1507335,45,4
1507366,84,7
1507380,84,7
1507399,84,7
1507432,60,5
1507438,60,5
1507522,12,1
1507533,48,4
1507558,95,8
1507559,84,7
1507611,60,5
1507614,48,4
1507625,69,6
1507628,60,5
1507630,14,1
1507638,48,4
1507645,84,7
1507699,95,8
1507704,19,2
1507712,84,7
1507713,12,1
1507723,84,7
1507736,48,4
1507737,58,5
1507745,6,1
1507747,82,7
1507755,59,5
1507763,84,7
1507768,48,4
1507769,60,5
1507771,48,4
1507805,84,7
1507844,48,4
1507846,84,7
1507854,80,7
1507855,60,5
1507857,84,7
1507867,84,7
1507872,13,1
1507877,60,5
1507937,60,5
1507938,84,7
1507957,120,10
1507989,39,3
1508013,84,7
1508021,2,0
1508025,0,0
1508029,83,7
1508030,60,5
1508036,3,0
1508060,58,5
1508077,60,5
1508082,36,3
1508086,83,7
1508103,22,2
1508112,12,1
1508120,48,4
1508131,60,5
1508133,60,5
1508134,60,5
1508137,48,4
1508156,48,4
1508159,9,1
1508162,59,5
1508173,47,4
1508192,84,7
1508201,60,5
1508209,69,6
1508211,10,1
1508218,10,1
1508219,84,7
1508239,83,7
1508244,84,7
1508245,42,4
1508246,84,7
1508280,52,4
1508305,47,4
1508316,84,7
1508318,117,10
1508357,84,7
1508375,12,1
1508384,72,6
1508389,81,7
1508393,48,4
1508400,84,7
1508435,12,1
1508437,84,7
1508464,12,1
1508475,43,4
1508484,84,7
1508500,12,1
1508537,4,0
1508548,12,1
1508553,5,0
1508556,48,4
1508558,60,5
1508564,60,5
1508573,79,7
1508581,60,5
1508587,83,7
1508625,84,7
1508629,84,7
1508642,84,7
1508647,78,7
1508652,60,5
1508653,25,2
1508658,60,5
1508685,12,1
1508715,64,5
1508733,84,7
1508735,83,7
1508737,60,5
1508738,12,1
1508753,36,3
1508780,39,3
1508790,60,5
1508797,83,7
1508841,60,5
1508843,29,2
1508887,60,5
1508897,12,1
1508908,60,5
1508909,24,2
1508916,60,5
1508938,72,6
1508959,36,3
1508960,83,7
1508962,60,5
1508963,23,2
1508965,60,5
1508967,60,5
1508979,60,5
1508981,12,1
1508984,77,6
1509008,83,7
1509020,24,2
1509045,48,4
1509051,84,7
1509082,84,7
1509090,76,6
1509096,18,2
1509098,15,1
1509105,60,5
1509114,83,7
1509116,70,6
1509185,60,5
1509188,48,4
1509206,36,3
1509226,12,1
1509236,60,5
1509258,24,2
1509259,84,7
1509270,84,7
1509278,35,3
1509312,60,5
1509320,1,0
1509342,84,7
1509346,60,5
1509351,47,4
1509408,36,3
1509418,26,2
1509427,84,7
1509428,84,7
1509435,48,4
1509440,12,1
1509451,12,1
1509455,24,2
1509461,36,3
1509464,24,2
1509480,84,7
1509486,83,7
1509493,84,7
1509498,4,0
1509507,60,5
1509509,12,1
1509510,24,2
1509512,60,5
1509534,18,2
1509544,3,0
1509576,12,1
1509580,12,1
1509588,48,4
1509591,12,1
1509601,60,5
1509603,83,7
1509604,48,4
1509608,66,6
1509635,60,5
1509638,2,0
1509639,84,7
1509644,47,4
1509648,60,5
1509653,15,1
1509654,3,0
1509659,85,7
1509694,60,5
1509695,60,5
1509712,60,5
1509728,12,1
1509736,48,4
1509737,60,5
1509740,60,5
1509743,21,2
1509744,12,1
1509745,0,0
1509749,43,4
1509755,84,7
1509757,60,5
1509770,12,1
1509782,47,4
1509792,84,7
1509801,60,5
1509802,34,3
1509803,3,0
1509804,12,1
1509806,6,1
1509811,60,5
1509833,48,4
1509873,84,7
1509880,84,7
1509902,2,0
1509944,60,5
1509949,50,4
1509951,20,2
1509960,105,9
1509962,83,7
1509966,14,1
1509967,60,5
1509970,84,7
1509991,48,4
1510010,84,7
1510015,83,7
1510030,36,3
1510032,60,5
1510088,84,7
1510092,18,2
1510104,60,5
1510114,60,5
1510122,84,7
1510137,84,7
1510171,24,2
1510172,24,2
1510181,37,3
1510182,20,2
1510183,36,3
1510232,62,5
1510258,138,12
1510260,84,7
1510266,68,6
1510267,62,5
1510268,60,5
1510277,56,5
1510291,48,4
1510354,60,5
1510375,60,5
1510391,60,5
1510394,38,3
1510429,24,2
1510435,60,5
1510451,48,4
1510452,60,5
1510460,12,1
1510466,12,1
1510469,60,5
1510532,84,7
1510544,80,7
1510595,62,5
1510596,48,4
1510609,81,7
1510610,16,1
1510612,60,5
1510615,58,5
1510622,84,7
1510627,84,7
1510635,83,7
1510663,48,4
1510675,48,4
1510710,84,7
1510723,99,8
1510729,60,5
1510741,60,5
1510746,12,1
1510758,79,7
1510767,60,5
1510771,11,1
1510777,4,0
1510778,60,5
1510780,60,5
1510796,48,4
1510798,36,3
1510799,48,4
1510809,12,1
1510810,60,5
1510812,74,6
1510841,60,5
1510868,48,4
1510870,83,7
1510893,12,1
1510903,2,0
1510915,60,5
1510939,48,4
1510954,15,1
1510964,48,4
1510968,48,4
1510971,24,2
1510982,84,7
1510987,60,5
1510998,84,7
1511001,84,7
1511004,60,5
1511005,84,7
1511034,36,3
1511037,84,7
1511091,84,7
1511110,70,6
1511115,84,7
1511116,60,5
1511118,83,7
1511128,36,3
1511138,12,1
1511140,36,3
1511151,24,2
1511163,84,7
1511170,6,1
1511181,60,5
1511184,60,5
1511187,83,7
1511188,83,7
1511232,48,4
1511237,36,3
1511246,60,5
1511292,48,4
1511324,12,1
1511334,48,4
1511362,84,7
1511366,21,2
1511380,48,4
1511399,48,4
1511409,83,7
1511415,60,5
1511420,23,2
1511421,60,5
1511423,9,1
1511434,48,4
1511438,60,5
1511439,71,6
1511475,12,1
1511504,18,2
1511508,48,4
1511521,35,3
1511525,84,7
1511537,84,7
1511541,12,1
1511545,49,4
1511578,33,3
1511582,19,2
1511648,84,7
1511667,83,7
1511681,60,5
1511717,48,4
1511721,132,11
1511722,83,7
1511726,83,7
1511738,84,7
1511748,74,6
1511756,48,4
1511777,48,4
1511780,8,1
1511787,48,4
1511790,84,7
1511812,27,2
1511815,60,5
1511831,60,5
1511832,84,7
1511833,84,7
1511838,83,7
1511840,24,2
1511849,48,4
1511864,60,5
1511901,60,5
1511902,60,5
1511911,7,1
1511915,83,7
1511947,84,7
1511963,83,7
1511970,84,7
1511973,24,2
1511977,84,7
1511995,2,0
1512011,84,7
1512038,60,5
1512071,12,1
1512079,60,5
1512084,84,7
1512095,12,1
1512097,48,4
1512099,0,0
1512109,60,5
1512117,84,7
1512128,41,3
1512129,84,7
1512130,48,4
1512133,48,4
1512134,70,6
1512138,36,3
1512142,120,10
1512164,12,1
1512183,12,1
1512192,60,5
1512195,26,2
1512205,83,7
1512250,41,3
1512257,60,5
1512262,19,2
1512263,8,1
1512264,60,5
1512279,72,6
1512280,84,7
1512286,60,5
1512291,12,1
1512298,84,7
1512319,3,0
1512323,26,2
1512406,83,7
1512418,82,7
1512420,36,3
1512436,75,6
1512438,36,3
1512440,84,7
1512445,35,3
1512446,84,7
1512479,71,6
1512491,84,7
1512502,48,4
1512504,12,1
1512507,84,7
1512520,84,7
1512529,84,7
1512533,36,3
1512534,23,2
1512552,60,5
1512565,79,7
1512605,84,7
1512612,60,5
1512613,72,6
1512614,84,7
1512619,48,4
1512620,60,5
1512633,83,7
1512641,60,5
1512688,48,4
1512689,32,3
1512690,24,2
1512694,60,5
1512697,12,1
1512698,84,7
1512707,43,4
1512711,84,7
1512723,84,7
1512735,84,7
1512744,48,4
1512753,3,0
1512789,84,7
1512794,17,1
1512807,70,6
1512809,60,5
1512818,24,2
1512824,35,3
1512826,83,7
1512851,60,5
1512871,60,5
1512922,84,7
1512954,12,1
1512969,36,3
1513017,71,6
1513021,60,5
1513032,84,7
1513034,84,7
1513040,48,4
1513049,16,1
1513063,36,3
1513071,84,7
1513075,84,7
1513092,60,5
1513096,24,2
1513119,84,7
1513120,12,1
1513122,28,2
1513123,84,7
1513141,82,7
1513163,36,3
1513164,60,5
1513175,84,7
1513196,48,4
1513220,59,5
1513226,24,2
1513237,32,3
1513248,3,0
1513252,31,3
1513262,84,7
1513277,84,7
1513284,44,4
1513288,48,4
1513289,60,5
1513290,81,7
1513363,23,2
1513368,84,7
1513389,12,1
1513405,48,4
1513406,24,2
1513410,24,2
1513418,84,7
1513424,60,5
1513425,36,3
1513426,68,6
1513431,72,6
1513432,48,4
1513447,2,0
1513451,60,5
1513474,84,7
1513495,48,4
1513497,60,5
1513501,60,5
1513505,36,3
1513515,60,5
1513517,12,1
1513523,12,1
1513525,48,4
1513527,60,5
1513541,84,7
1513545,84,7
1513547,9,1
1513551,60,5
1513563,36,3
1513586,12,1
1513606,48,4
1513616,12,1
1513621,84,7
1513623,40,3
1513635,84,7
1513639,60,5
1513696,59,5
1513701,48,4
1513715,48,4
1513717,48,4
1513718,9,1
1513719,82,7
1513728,36,3
1513730,60,5
1513742,23,2
1513744,5,0
1513760,60,5
1513763,5,0
1513764,60,5
1513775,48,4
1513779,84,7
1513832,36,3
1513872,75,6
1513883,37,3
1513904,84,7
1513924,7,1
1513929,84,7
1513933,60,5
1513936,78,7
1513943,19,2
1513961,29,2
1513994,18,2
1513996,8,1
1514001,79,7
1514003,10,1
1514011,84,7
1514013,83,7
1514029,5,0
1514030,60,5
1514035,195,16
1514046,48,4
1514047,84,7
1514048,34,3
1514056,60,5
1514070,39,3
1514115,12,1
1514122,12,1
1514172,120,10
1514178,10,1
1514187,81,7
1514210,84,7
1514213,60,5
1514218,108,9
1514221,4,0
1514227,84,7
1514236,48,4
1514258,60,5
1514270,60,5
1514272,60,5
1514273,30,3
1514295,60,5
1514297,60,5
1514299,83,7
1514307,31,3
1514317,12,1
1514319,84,7
1514331,12,1
1514340,60,5
1514348,16,1
1514355,82,7
1514356,12,1
1514367,84,7
1514408,60,5
1514417,15,1
1514418,60,5
1514425,60,5
1514429,51,4
1514440,60,5
1514448,6,1
1514450,84,7
1514453,84,7
1514457,36,3
1514503,83,7
1514505,48,4
1514523,48,4
1514529,17,1
1514548,24,2
1514567,83,7
1514571,48,4
1514576,119,10
1514586,84,7
1514602,81,7
1514607,60,5
1514628,120,10
1514632,10,1
1514669,84,7
1514675,27,2
1514685,60,5
1514686,39,3
1514693,83,7
1514694,3,0
1514699,84,7
1514709,60,5
1514726,60,5
1514727,60,5
1514735,48,4
1514743,12,1
1514744,60,5
1514751,60,5
1514764,81,7
1514776,83,7
1514781,80,7
1514802,104,9
1514808,60,5
1514809,60,5
1514811,48,4
1514815,5,0
1514822,12,1
1514826,34,3
1514834,48,4
1514841,83,7
1514849,60,5
1514867,60,5
1514869,14,1
1514871,84,7
1514872,75,6
1514873,84,7
1514888,32,3
1514890,84,7
1514892,60,5
1514896,12,1
1514901,84,7
1514923,36,3
1514924,24,2
1514931,77,6
1514940,48,4
1514941,24,2
1514944,12,1
1514950,60,5
1514990,48,4
1514992,60,5
1514993,71,6
1515004,83,7
1515010,84,7
1515011,67,6
1515015,60,5
1515018,84,7
1515019,60,5
1515021,83,7
1515037,84,7
1515039,86,7
1515056,85,7
1515074,71,6
1515084,36,3
1515106,60,5
1515109,75,6
1515111,48,4
1515142,95,8
1515157,29,2
1515160,60,5
1515162,24,2
1515182,84,7
1515187,60,5
1515199,2,0
1515203,59,5
1515205,81,7
1515208,12,1
1515213,60,5
1515218,82,7
1515220,48,4
1515232,11,1
1515257,84,7
1515271,39,3
1515274,15,1
1515288,84,7
1515289,60,5
1515297,4,0
1515299,60,5
1515335,48,4
1515345,82,7
1515368,12,1
1515371,35,3
1515374,48,4
1515428,8,1
1515458,83,7
1515460,84,7
1515469,12,1
1515471,12,1
1515474,84,7
1515476,62,5
1515480,84,7
1515495,60,5
1515506,60,5
1515507,84,7
1515508,84,7
1515516,81,7
1515519,83,7
1515534,83,7
1515540,13,1
1515559,24,2
1515560,84,7
1515576,16,1
1515581,36,3
1515603,33,3
1515645,37,3
1515646,60,5
1515653,72,6
1515655,60,5
1515718,79,7
1515722,12,1
1515741,60,5
1515751,60,5
1515786,36,3
1515794,12,1
1515801,12,1
1515805,82,7
1515810,48,4
1515812,38,3
1515813,60,5
1515820,71,6
1515824,60,5
1515872,48,4
1515893,48,4
1515927,8,1
1515961,61,5
1515976,74,6
1515981,84,7
1515986,24,2
1516001,12,1
1516003,84,7
1516008,48,4
1516009,48,4
1516011,80,7
1516030,10,1
1516038,60,5
1516039,79,7
1516040,60,5
1516043,11,1
1516053,12,1
1516121,80,7
1516125,82,7
1516126,24,2
1516139,84,7
1516142,82,7
1516153,48,4
1516156,4,0
1516161,12,1
1516165,48,4
1516170,48,4
1516171,12,1
1516174,4,0
1516179,83,7
1516189,12,1
1516202,66,6
1516209,5,0
1516211,12,1
1516214,2,0
1516216,83,7
1516221,84,7
1516225,23,2
1516241,42,4
1516244,5,0
1516293,15,1
1516295,84,7
1516298,60,5
1516300,76,6
1516305,84,7
1516306,84,7
1516330,12,1
1516331,20,2
1516338,72,6
1516364,84,7
1516398,22,2
1516399,11,1
1516401,84,7
1516403,60,5
1516405,10,1
1516411,60,5
1516417,84,7
1516420,60,5
1516428,84,7
1516431,28,2
1516432,56,5
1516439,60,5
1516442,12,1
1516444,12,1
1516460,82,7
1516467,36,3
1516478,84,7
1516504,84,7
1516511,84,7
1516513,12,1
1516523,60,5
1516542,1,0
1516543,40,3
1516544,48,4
1516548,48,4
1516571,82,7
1516572,84,7
1516574,84,7
1516612,60,5
1516659,4,0
1516662,84,7
1516666,48,4
1516685,11,1
1516688,72,6
1516690,48,4
1516700,12,1
1516713,48,4
1516729,17,1
1516735,6,1
1516739,77,6
1516748,48,4
1516753,84,7
1516754,48,4
1516755,6,1
1516761,36,3
1516768,18,2
1516771,84,7
1516777,79,7
1516833,48,4
1516847,51,4
1516855,60,5
1516859,36,3
1516860,83,7
1516897,60,5
1516899,30,3
1516902,60,5
1516904,12,1
1516906,84,7
1516909,80,7
1516913,19,2
1516918,84,7
1516922,12,1
1516943,48,4
1516945,84,7
1516956,84,7
1517034,84,7
1517048,83,7
1517053,48,4
1517065,27,2
1517069,83,7
1517102,84,7
1517103,36,3
1517104,31,3
1517105,79,7
1517108,18,2
1517123,84,7
1517132,36,3
1517133,15,1
1517138,48,4
1517141,83,7
1517147,84,7
1517160,60,5
1517165,48,4
1517166,60,5
1517199,82,7
1517205,12,1
1517213,36,3
1517217,12,1
1517224,73,6
1517235,84,7
1517241,75,6
1517244,12,1
1517247,48,4
1517253,82,7
1517260,12,1
1517280,84,7
1517288,43,4
1517289,119,10
1517290,66,6
1517294,60,5
1517297,60,5
1517300,60,5
1517315,12,1
1517318,11,1
1517362,15,1
1517367,12,1
1517370,15,1
1517380,12,1
1517397,9,1
1517455,14,1
1517477,70,6
1517488,1,0
1517496,84,7
1517502,60,5
1517506,47,4
1517520,4,0
1517525,84,7
1517530,35,3
1517534,48,4
1517540,84,7
1517550,84,7
1517553,36,3
1517554,4,0
1517555,84,7
1517559,60,5
1517562,48,4
1517563,48,4
1517567,60,5
1517614,84,7
1517616,84,7
1517630,84,7
1517631,60,5
1517635,16,1
1517663,83,7
1517664,83,7
1517668,84,7
1517671,83,7
1517673,11,1
1517677,84,7
1517689,81,7
1517711,18,2
1517719,12,1
1517726,60,5
1517745,60,5
1517749,84,7
1517765,48,4
1517773,84,7
1517782,20,2
1517784,48,4
1517785,60,5
1517788,12,1
1517790,84,7
1517799,60,5
1517816,84,7
1517831,83,7
1517844,84,7
1517860,84,7
1517884,23,2
1517886,12,1
1517894,72,6
1517903,82,7
1517906,81,7
2006442,60,5
2006572,84,7
2006582,60,5
2006597,12,1
2006610,7,1
2006616,12,1
2006619,72,6
2006638,76,6
2006641,12,1
2006653,83,7
2006676,36,3
2006679,84,7
2006689,71,6
2006691,49,4
2006718,120,10
2006728,84,7
2006760,48,4
2006766,20,2
2006794,84,7
2006795,71,6
2006800,84,7
2006844,84,7
2006846,12,1
2006856,84,7
2006873,48,4
2006879,41,3
2006884,38,3
2006891,60,5
2006907,60,5
2006931,84,7
2006964,78,7
2006966,36,3
2006968,120,10
2006971,84,7
2006972,60,5
2006973,60,5
2007033,3,0
2007042,83,7
2007046,18,2
2007050,81,7
2007062,12,1
2007063,12,1
2007065,78,7
2007068,90,8
2007071,48,4
2007079,60,5
2007086,120,10
2007089,49,4
2007091,35,3
2007097,60,5
2007115,60,5
2007126,12,1
2007137,60,5
2007152,60,5
2007153,36,3
2007167,60,5
2007171,9,1
2007177,60,5
2007182,60,5
2007193,67,6
2007207,12,1
2007208,13,1
2007244,60,5
2007245,48,4
2007261,3,0
2007300,48,4
2007301,60,5
2007304,84,7
2007308,83,7
2007326,24,2
2007330,25,2
2007368,60,5
2007372,118,10
2007375,48,4
2007376,84,7
2007384,84,7
2007385,60,5
2007392,84,7
2007397,84,7
2007401,36,3
2007412,1,0
2007414,48,4
2007415,36,3
2007419,84,7
2007423,60,5
2007437,51,4
2007484,12,1
2007498,12,1
2007534,84,7
2007535,83,7
2007537,36,3
2007544,84,7
2007545,84,7
2007555,36,3
2007577,6,1
2007578,22,2
2007586,75,6
2007595,36,3
2007629,85,7
2007630,43,4
2007645,84,7
2007659,24,2
2007677,12,1
2007686,60,5
2007692,84,7
2007700,71,6
2007716,84,7
2007732,22,2
2007734,36,3
2007738,60,5
2007739,18,2
2007741,84,7
2007743,84,7
2007748,84,7
2007752,84,7
2007754,12,1
2007765,6,1
2007767,60,5
2007768,60,5
2007769,84,7
2007771,84,7
2007777,84,7
2007778,81,7
2007781,24,2
2007782,82,7
2007793,60,5
2007796,84,7
2007799,27,2
2007800,48,4
2007801,48,4
2007807,84,7
2007811,84,7
2007818,84,7
2007831,47,4
2007840,84,7
2007847,60,5
2007848,84,7
2007849,60,5
2007866,18,2
2007867,84,7
2007930,126,11
2007932,17,1
2007936,84,7
2007938,18,2
2007944,2,0
2007945,12,1
2007950,84,7
2007959,60,5
2007962,24,2
2007987,47,4
2008011,37,3
2008038,84,7
2008047,29,2
2008052,20,2
2008086,83,7
2008087,25,2
2008107,10,1
2008115,48,4
2008116,48,4
2008119,22,2
2008127,12,1
2008132,37,3
2008133,34,3
2008142,84,7
2008154,60,5
2008158,83,7
2008163,60,5
2008195,48,4
2008197,84,7
2008207,83,7
2008209,84,7
2008238,60,5
2008245,20,2
2008268,8,1
2008279,84,7
2008293,70,6
2008294,84,7
2008307,84,7
2008313,60,5
2008314,60,5
2008315,60,5
2008336,60,5
2008338,60,5
2008341,12,1
2008379,32,3
2008390,84,7
2008392,24,2
2008394,86,7
2008396,84,7
2008409,60,5
2008417,83,7
2008434,13,1
2008487,23,2
2008505,83,7
2008507,104,9
2008515,63,5
2008518,60,5
2008524,85,7
2008531,56,5
2008533,60,5
2008540,60,5
2008566,12,1
2008581,60,5
2008587,8,1
2008594,36,3
2008596,36,3
2008641,60,5
2008645,12,1
2008665,85,7
2008669,6,1
2008673,11,1
2008678,83,7
2008689,83,7
2008690,27,2
2008696,8,1
2008698,110,9
2008699,12,1
2008705,54,5
2008710,12,1
2008764,76,6
2008786,84,7
2008824,29,2
2008826,48,4
2008831,60,5
2008851,81,7
2008855,12,1
2008862,59,5
2008865,48,4
2008869,124,10
2008892,20,2
2008937,81,7
2008940,2,0
2008953,72,6
2008958,84,7
2008966,84,7
2008969,12,1
2009027,50,4
2009036,84,7
2009049,36,3
2009059,84,7
2009074,60,5
2009087,12,1
2009092,4,0
2009115,81,7
2009116,82,7
2009138,84,7
2009145,23,2
2009148,84,7
2009175,23,2
2009178,41,3
2009181,24,2
2009189,34,3
2009198,38,3
2009199,26,2
2009239,84,7
2009240,0,0
2009247,36,3
2009250,60,5
2009253,12,1
2009260,12,1
2009284,84,7
2009289,83,7
2009319,80,7
2009335,4,0
2009338,60,5
2009355,58,5
2009356,60,5
2009363,84,7
2009366,60,5
2009405,60,5
2009409,84,7
2009427,40,3
2009454,10,1
2009457,60,5
2009461,60,5
2009463,7,1
2009466,12,1
2009469,83,7
2009495,78,7
2009498,83,7
2009499,84,7
2009526,29,2
2009528,5,0
2009529,84,7
2009535,84,7
2009550,48,4
2009551,71,6
2009552,12,1
2009558,2,0
2009561,12,1
2009571,60,5
2009575,84,7
2009618,10,1
2009620,84,7
2009621,77,6
2009623,39,3
2009653,12,1
2009658,12,1
2009666,60,5
2009667,84,7
2009669,50,4
2009674,84,7
2009675,60,5
2009677,12,1
2009680,60,5
2009681,84,7
2009683,12,1
2009696,60,5
2009703,95,8
2009704,74,6
2009705,12,1
2009709,38,3
2009712,82,7
2009737,118,10
2009747,60,5
2009790,60,5
2009795,5,0
2009797,72,6
2009830,56,5
2009831,84,7
2009861,84,7
2009886,84,7
2009887,60,5
2009896,13,1
2009899,60,5
2009900,84,7
2009902,4,0
2009909,51,4
2009914,27,2
2009915,48,4
2009945,86,7
2009953,23,2
2009960,60,5
2009961,48,4
2009962,66,6
2009968,60,5
2009983,60,5
2010027,18,2
2010060,12,1
2010067,48,4
2010069,6,1
2010071,71,6
2010072,60,5
2010078,84,7
2010079,27,2
2010117,84,7
2010119,84,7
2010132,48,4
2010141,60,5
2010153,60,5
2010160,31,3
2010196,81,7
2010198,18,2
2010214,48,4
2010216,48,4
2010217,9,1
2010239,84,7
2010241,24,2
2010249,15,1
2010260,60,5
2010261,84,7
2010263,83,7
2010281,12,1
2010305,11,1
2010313,79,7
2010314,18,2
2010339,60,5
2010345,36,3
2010375,48,4
2010377,6,1
2010378,25,2
2010379,48,4
2010380,84,7
2010381,24,2
2010391,12,1
2010395,12,1
2010416,84,7
2010430,60,5
2010436,55,5
2010442,10,1
2010465,12,1
2010492,17,1
2010502,14,1
2010503,83,7
2010518,12,1
2010528,38,3
2010562,3,0
2010577,12,1
2010582,39,3
2010583,83,7
2010602,60,5
2010643,48,4
2010651,84,7
2010654,48,4
2010660,84,7
2010675,16,1
2010678,60,5
2010687,62,5
2010689,19,2
2010690,12,1
2010691,36,3
2010693,73,6
2010695,12,1
2010706,82,7
2010707,60,5
2010722,23,2
2010785,84,7
2010786,41,3
2010804,62,5
2010826,60,5
2010840,36,3
2010846,60,5
2010867,84,7
2010873,82,7
2010875,84,7
2010879,84,7
2010880,22,2
2010887,84,7
2010928,60,5
2010952,84,7
2010964,60,5
2010966,83,7
2010970,82,7
2010996,21,2
2011009,12,1
2011013,12,1
2011018,36,3
2011025,60,5
2011058,65,5
2011062,48,4
2011083,86,7
2011085,23,2
2011087,60,5
2011094,84,7
2011095,60,5
2011096,60,5
2011100,69,6
2011104,48,4
2011105,12,1
2011114,2,0
2011117,18,2
2011118,12,1
2011126,81,7
2011128,58,5
2011137,12,1
2011161,89,7
2011175,12,1
2011239,84,7
2011242,48,4
2011249,73,6
2011250,48,4
2011260,48,4
2011263,48,4
2011266,48,4
2011276,48,4
2011277,48,4
2011286,84,7
2011292,58,5
2011294,17,1
2011299,84,7
2011303,36,3
2011309,36,3
2011310,30,3
2011320,36,3
2011337,12,1
2011355,12,1
2011374,84,7
2011384,8,1
2011416,84,7
2011422,84,7
2011423,24,2
2011424,60,5
2011425,84,7
2011437,84,7
2011476,5,0
2011477,68,6
2011490,82,7
2011492,12,1
2011498,83,7
2011500,48,4
2011503,7,1
2011506,12,1
2011509,84,7
2011510,60,5
2011512,36,3
2011525,12,1
2011527,12,1
2011542,85,7
2011553,33,3
2011555,83,7
2011561,41,3
2011569,48,4
2011574,60,5
2011605,84,7
2011620,84,7
2011624,82,7
2011627,60,5
2011634,84,7
2011638,12,1
2011646,36,3
2011670,60,5
2011672,60,5
2011692,60,5
2011704,60,5
2011706,83,7
2011719,83,7
2011722,24,2
2011734,83,7
2011780,84,7
2011782,23,2
2011818,84,7
2011849,84,7
2011856,12,1
2011876,12,1
2011877,8,1
2011882,12,1
2011884,60,5
2011886,12,1
2011887,47,4
2011894,84,7
2011895,31,3
2011897,84,7
2011907,60,5
2011918,84,7
2011919,36,3
2011955,60,5
2011960,84,7
2011967,60,5
2011979,12,1
2011994,84,7
2012052,48,4
2012054,7,1
2012065,84,7
2012075,84,7
2012077,82,7
2012088,84,7
2012098,12,1
2012107,12,1
2012130,60,5
2012141,12,1
2012175,83,7
2012179,60,5
2012182,60,5
2012204,12,1
2012271,3,0
2012274,73,6
2012275,18,2
2012287,84,7
2012302,60,5
2012303,37,3
2012304,73,6
2012316,6,1
2012322,83,7
2012324,12,1
2012357,97,8
2012363,48,4
2012391,60,5
2012393,84,7
2012394,84,7
2012396,84,7
2012401,12,1
2012405,12,1
2012407,75,6
2012419,39,3
2012420,83,7
2012430,71,6
2012443,48,4
2012450,15,1
2012455,25,2
2012464,83,7
2012486,60,5
2012490,36,3
2012503,48,4
2012513,48,4
2012522,84,7
2012528,16,1
2012532,68,6
2012549,82,7
2012554,82,7
2012593,12,1
2012598,5,0
2012599,89,7
2012616,60,5
2012624,12,1
2012628,12,1
2012629,83,7
2012631,24,2
2012634,84,7
2012671,13,1
2012721,12,1
2012735,24,2
2012743,57,5
2012748,84,7
2012756,73,6
2012758,2,0
2012762,82,7
2012773,84,7
2012775,83,7
2012815,84,7
2012824,27,2
2012827,83,7
2012828,83,7
2012857,107,9
2012861,36,3
2012867,84,7
2012868,84,7
2012870,84,7
2012872,3,0
2012875,84,7
2012880,20,2
2012887,84,7
2012895,13,1
2012896,60,5
2012907,78,7
2012909,60,5
2012928,12,1
2012952,12,1
2012981,84,7
2012983,26,2
2012992,84,7
2013018,12,1
2013020,84,7
2013024,36,3
2013058,3,0
2013067,84,7
2013079,33,3
2013095,14,1
2013125,31,3
2013132,1,0
2013142,3,0
2013143,10,1
2013156,60,5
2013174,12,1
2013176,84,7
2013182,60,5
2013226,38,3
2013228,12,1
2013250,60,5
2013254,60,5
2013289,60,5
2013337,12,1
2013338,12,1
2013349,12,1
2013350,84,7
2013353,83,7
2013393,21,2
2013397,84,7
2013404,84,7
2013406,12,1
2013421,7,1
2013425,60,5
2013430,72,6
2013431,81,7
2013438,84,7
2013440,84,7
2013441,30,3
2013446,34,3
2013450,79,7
2013453,48,4
2013486,70,6
2013512,54,5
2013529,44,4
2013535,15,1
2013554,12,1
2013556,81,7
2013573,12,1
2013589,84,7
2013595,84,7
2013598,102,9
2013600,5,0
2013607,85,7
2013610,84,7
2013618,12,1
2013647,84,7
2013649,15,1
2013684,19,2
2013686,60,5
2013690,84,7
2013711,84,7
2013712,48,4
2013733,83,7
2013738,84,7
2013743,2,0
2013754,83,7
2013755,84,7
2013770,48,4
2013773,60,5
2013781,81,7
2013831,12,1
2013844,36,3
2013849,12,1
2013885,84,7
2013886,83,7
2013914,60,5
2013915,13,1
2013933,24,2
2013940,53,4
2013942,84,7
2013956,84,7
2013980,60,5
2014011,84,7
2014027,17,1
2014031,84,7
2014033,9,1
2014034,12,1
2014035,12,1
2014036,25,2
2014078,29,2
2014090,60,5
2014093,48,4
2014096,60,5
2014098,38,3
2014115,12,1
2014160,27,2
2014176,84,7
2014181,60,5
2014199,12,1
2014216,27,2
2014221,27,2
2014223,83,7
2014225,66,6
2014230,12,1
2014233,51,4
2014244,27,2
2014294,60,5
2014319,12,1
2014324,83,7
2014326,60,5
2014347,44,4
2014348,5,0
2014370,82,7
2014374,11,1
2014394,84,7
2014400,26,2
2014435,84,7
2014440,41,3
2014488,84,7
2014500,9,1
2014504,12,1
2014507,84,7
2014511,48,4
