ObservationNmb,MaturityMthsQty,"Years Till Maturity"
1487373,12,1
1487401,70,6
1487407,89,7
1487408,83,7
1487427,24,2
1487428,59,5
1487464,76,6
1487483,12,1
1487485,60,5
1487498,30,3
1487500,81,7
1487504,60,5
1487547,60,5
1487581,60,5
1487608,24,2
1487617,60,5
1487620,36,3
1487633,14,1
1487671,60,5
1487689,12,1
1487694,3,0
1487696,60,5
1487712,36,3
1487715,75,6
1487734,18,2
1487744,60,5
1487755,12,1
1487786,48,4
1487840,81,7
1487854,8,1
1487855,18,2
1487863,114,10
1487865,48,4
1487884,48,4
1487906,79,7
1487908,12,1
1487914,17,1
1487953,60,5
1487965,48,4
1488003,36,3
1488077,12,1
1488104,66,6
1488127,12,1
1488133,24,2
1488139,84,7
1488166,24,2
1488197,44,4
1488211,15,1
1488213,60,5
1488236,60,5
1488245,35,3
1488251,50,4
1488275,12,1
1488278,83,7
1488279,84,7
1488296,1,0
1488297,60,5
1488299,60,5
1488319,7,1
1488322,78,7
1488324,26,2
1488402,84,7
1488458,72,6
1488467,60,5
1488472,24,2
1488480,36,3
1488482,17,1
1488485,60,5
1488497,60,5
1488498,36,3
1488546,24,2
1488551,60,5
1488554,48,4
1488602,60,5
1488603,84,7
1488621,60,5
1488624,26,2
1488665,4,0
1488675,48,4
1488679,60,5
1488690,83,7
1488718,33,3
1488744,60,5
1488772,186,16
1488804,60,5
1488811,60,5
1488816,36,3
1488817,60,5
1488821,80,7
1488843,60,5
1488844,28,2
1488851,24,2
1488860,31,3
1488870,60,5
1488880,60,5
1488882,119,10
1488892,84,7
1488893,60,5
1488896,60,5
1488924,84,7
1489001,71,6
1489004,6,1
1489005,48,4
1489014,48,4
1489043,24,2
1489044,12,1
1489056,21,2
1489063,81,7
1489065,29,2
1489074,5,0
1489095,84,7
1489097,24,2
1489103,12,1
1489104,60,5
1489106,60,5
1489108,26,2
1489111,28,2
1489138,30,3
1489139,2,0
1489202,120,10
1489211,12,1
1489217,36,3
1489231,0,0
1489236,36,3
1489238,12,1
1489242,48,4
1489294,46,4
1489297,36,3
1489333,82,7
1489341,60,5
1489385,84,7
1489388,82,7
1489414,23,2
1489418,48,4
1489420,58,5
1489421,7,1
1489430,24,2
1489445,83,7
1489482,60,5
1489484,12,1
1489530,60,5
1489545,12,1
1489565,48,4
1489566,48,4
1489578,60,5
1489579,9,1
1489614,24,2
1489661,10,1
1489670,48,4
1489695,35,3
1489697,36,3
1489704,60,5
1489714,83,7
1489812,12,1
1489818,12,1
1489820,36,3
1489821,24,2
1489834,60,5
1489850,52,4
1489882,3,0
1489885,60,5
1489910,24,2
1489917,24,2
1489918,24,2
1489923,36,3
1489945,60,5
1489957,5,0
1489962,60,5
1489977,13,1
1489986,48,4
1489996,26,2
1490004,13,1
1490034,84,7
1490035,38,3
1490099,60,5
1490127,21,2
1490130,35,3
1490140,24,2
1490159,60,5
1490179,36,3
1490181,80,7
1490230,84,7
1490234,8,1
1490240,83,7
1490312,60,5
1490324,83,7
1490367,24,2
1490371,10,1
1490374,60,5
1490375,53,4
1490379,44,4
1490383,12,1
1490392,48,4
1490414,50,4
1490556,16,1
1490565,60,5
1490572,35,3
1490576,12,1
1490577,1,0
1490578,36,3
1490592,79,7
1490606,12,1
1490608,48,4
1490629,84,7
1490652,60,5
1490653,60,5
1490657,36,3
1490658,84,7
1490659,60,5
1490694,69,6
1490697,60,5
1490717,24,2
1490726,84,7
1490757,3,0
1490758,18,2
1490767,83,7
1490771,60,5
1490773,83,7
1490774,12,1
1490782,77,6
1490801,48,4
1490819,14,1
1490822,36,3
1490849,12,1
1490876,60,5
1490880,24,2
1490881,48,4
1490889,36,3
1490901,46,4
1490917,60,5
1490947,24,2
1490965,24,2
1490967,47,4
1490970,82,7
1490971,84,7
1490999,82,7
1491002,24,2
1491007,83,7
1491014,84,7
1491016,40,3
1491021,12,1
1491023,84,7
1491028,24,2
1491037,70,6
1491043,48,4
1491045,3,0
1491109,60,5
1491117,42,4
1491121,60,5
1491132,15,1
1491135,84,7
1491137,116,10
1491150,12,1
1491213,24,2
1491215,24,2
1491222,83,7
1491227,18,2
1491228,48,4
1491230,24,2
1491231,24,2
1491237,23,2
1491238,82,7
1491239,24,2
1491241,24,2
1491243,36,3
1491244,24,2
1491249,34,3
1491259,24,2
1491314,24,2
1491317,72,6
1491321,24,2
1491324,60,5
1491352,82,7
1491354,4,0
1491400,47,4
1491425,72,6
1491426,12,1
1491454,24,2
1491460,24,2
1491466,82,7
1491467,24,2
1491471,60,5
1491473,24,2
1491476,60,5
1491486,24,2
1491488,7,1
1491489,60,5
1491495,20,2
1491505,84,7
1491506,60,5
1491579,39,3
1491608,36,3
1491619,12,1
1491634,12,1
1491643,83,7
1491655,12,1
1491657,60,5
1491680,60,5
1491681,60,5
1491684,36,3
1491688,6,1
1491727,84,7
1491753,48,4
1491768,36,3
1491804,12,1
1491839,60,5
1491843,48,4
1491858,12,1
1491874,15,1
1491877,84,7
1491903,78,7
1491915,78,7
1491921,18,2
1491925,12,1
1491936,11,1
1491938,60,5
1491942,12,1
1491950,12,1
1491989,48,4
1491991,48,4
1491997,17,1
1492032,83,7
1492060,60,5
1492083,3,0
1492085,32,3
1492107,60,5
1492153,60,5
1492188,6,1
1492196,60,5
1492198,48,4
1492201,84,7
1492208,60,5
1492252,60,5
1492255,60,5
1492305,12,1
1492341,12,1
1492355,60,5
1492357,60,5
1492361,60,5
1492369,81,7
1492377,60,5
1492386,60,5
1492389,48,4
1492394,9,1
1492397,24,2
1492434,12,1
1492435,84,7
1492443,24,2
1492480,10,1
1492483,10,1
1492498,36,3
1492508,82,7
1492513,25,2
1492535,63,5
1492541,4,0
1492598,98,8
1492639,83,7
1492642,93,8
1492659,48,4
1492671,60,5
1492686,119,10
1492719,36,3
1492743,36,3
1492755,106,9
1492765,52,4
1492787,12,1
1492799,10,1
1492801,60,5
1492806,87,7
1492812,60,5
1492821,120,10
1492824,48,4
1492829,84,7
1492834,48,4
1492837,48,4
1492840,60,5
1492843,48,4
1492847,34,3
1492855,48,4
1492856,48,4
1492887,82,7
1492889,24,2
1492918,12,1
1492929,12,1
1492935,89,7
1492950,84,7
1492958,60,5
1492973,13,1
1492975,70,6
1493000,36,3
1493019,48,4
1493052,24,2
1493054,60,5
1493102,84,7
1493114,16,1
1493127,3,0
1493151,96,8
1493192,12,1
1493196,48,4
1493204,2,0
1493205,48,4
1493207,12,1
1493216,24,2
1493218,60,5
1493222,36,3
1493224,12,1
1493236,48,4
1493238,83,7
1493255,3,0
1493256,84,7
1493308,24,2
1493309,48,4
1493328,60,5
1493345,30,3
1493347,2,0
1493370,12,1
1493376,60,5
1493399,84,7
1493402,16,1
1493406,60,5
1493410,50,4
1493437,162,14
1493448,60,5
1493456,60,5
1493508,84,7
1493511,60,5
1493536,60,5
1493560,24,2
1493566,83,7
1493595,15,1
1493604,37,3
1493637,4,0
1493638,5,0
1493651,84,7
1493661,0,0
1493666,83,7
1493685,84,7
1493692,84,7
1493702,18,2
1493709,15,1
1493728,21,2
1493748,12,1
1493759,117,10
1493803,60,5
1493809,72,6
1493811,48,4
1493826,12,1
1493859,69,6
1493861,15,1
1493862,12,1
1493866,1,0
1493887,83,7
1493892,82,7
1493900,48,4
1493941,3,0
1493960,60,5
1493981,12,1
1494004,12,1
1494016,3,0
1494060,24,2
1494063,12,1
1494073,83,7
1494074,118,10
1494079,60,5
1494094,73,6
1494097,60,5
1494115,56,5
1494170,12,1
1494174,102,9
1494189,31,3
1494226,48,4
1494237,24,2
1494242,48,4
1494254,84,7
1494258,24,2
1494260,2,0
1494286,24,2
1494297,60,5
1494299,60,5
1494300,19,2
1494337,53,4
1494339,12,1
1494343,60,5
1494348,12,1
1494364,60,5
1494388,60,5
1494423,22,2
1494454,13,1
1494457,18,2
1494465,12,1
1494467,15,1
1494477,36,3
1494482,29,2
1494501,24,2
1494510,84,7
1494520,60,5
1494567,72,6
1494574,84,7
1494603,60,5
1494638,84,7
1494639,84,7
1494656,12,1
1494674,12,1
1494677,60,5
1494688,12,1
1494691,84,7
1494694,24,2
1494714,24,2
1494722,60,5
1494723,24,2
1494730,48,4
1494782,84,7
1494793,84,7
1494794,115,10
1494801,84,7
1494803,10,1
1494824,36,3
1494855,84,7
1494875,84,7
1494882,84,7
1494887,83,7
1494891,84,7
1494903,60,5
1494931,84,7
1494966,12,1
1494974,60,5
1495023,60,5
1495036,12,1
1495047,17,1
1495060,84,7
1495062,36,3
1495071,73,6
1495082,64,5
1495101,88,7
1495108,85,7
1495111,83,7
1495113,48,4
1495115,21,2
1495127,60,5
1495148,22,2
1495164,14,1
1495177,84,7
1495200,48,4
1495203,16,1
1495211,60,5
1495212,60,5
1495214,84,7
1495215,47,4
1495221,82,7
1495242,30,3
1495258,3,0
1495269,12,1
1495281,80,7
1495290,48,4
1495317,81,7
1495365,84,7
1495401,12,1
1495402,46,4
1495412,9,1
1495437,60,5
1495467,44,4
1495478,47,4
1495492,84,7
1495517,30,3
1495549,10,1
1495567,12,1
1495572,12,1
1495589,60,5
1495591,60,5
1495602,84,7
1495603,24,2
1495614,84,7
1495617,59,5
1495695,95,8
1495709,59,5
1495713,59,5
1495719,12,1
1495755,84,7
1495757,33,3
1495762,11,1
1495766,70,6
1495769,25,2
1495785,24,2
1495803,83,7
1495825,48,4
1495840,47,4
1495861,12,1
1495888,84,7
1495889,36,3
1495892,48,4
1495894,60,5
1495897,36,3
1495906,8,1
1495925,12,1
1496008,83,7
1496052,84,7
1496057,0,0
1496130,48,4
1496132,60,5
1496133,3,0
1496163,48,4
1496170,2,0
1496180,24,2
1496182,24,2
1496186,73,6
1496195,83,7
1496213,83,7
1496239,26,2
1496258,15,1
1496274,84,7
1496279,82,7
1496287,79,7
1496290,10,1
1496293,60,5
1496294,61,5
1496296,84,7
1496301,28,2
1496312,10,1
1496313,36,3
1496314,60,5
1496315,35,3
1496321,36,3
1496323,36,3
1496342,60,5
1496425,31,3
1496455,60,5
1496549,84,7
1496565,36,3
1496637,38,3
1496648,24,2
1496677,28,2
1496678,72,6
1496682,26,2
1496691,81,7
1496699,9,1
1496706,50,4
1496708,12,1
1496728,36,3
1496729,36,3
1496740,1,0
1496750,13,1
1496792,83,7
1496804,84,7
1496811,6,1
1496823,80,7
1496829,12,1
1496848,60,5
1496849,37,3
1496865,12,1
1496866,60,5
1496874,60,5
1496935,16,1
1496955,24,2
1496963,48,4
1496988,9,1
1496991,36,3
1497014,60,5
1497037,60,5
1497043,48,4
1497049,48,4
1497061,36,3
1497095,86,7
1497109,60,5
1497112,12,1
1497113,60,5
1497114,79,7
1497131,83,7
1497161,60,5
1497168,84,7
1497169,83,7
1497181,84,7
1497184,48,4
1497205,60,5
1497209,60,5
1497212,83,7
1497216,2,0
1497227,12,1
1497230,107,9
1497260,60,5
1497261,54,5
1497263,29,2
1497273,33,3
1497279,27,2
1497314,12,1
1497321,83,7
1497338,18,2
1497347,48,4
1497389,27,2
1497396,19,2
1497409,24,2
1497431,12,1
1497442,60,5
1497457,12,1
1497565,60,5
1497661,36,3
1497663,60,5
1497664,23,2
1497672,30,3
1497693,60,5
1497700,1,0
1497701,3,0
1497708,12,1
1497709,60,5
1497711,84,7
1497746,12,1
1497754,48,4
1497762,24,2
1497764,83,7
1497765,24,2
1497766,17,1
1497770,84,7
1497788,60,5
1497814,84,7
1497815,84,7
1497816,36,3
1497818,12,1
1497838,8,1
1497839,60,5
1497851,60,5
1497857,0,0
1497877,83,7
1497879,36,3
1497883,3,0
1497888,84,7
1497928,16,1
1497931,79,7
1497934,36,3
1497951,60,5
1497982,60,5
1498048,24,2
1498052,22,2
1498064,60,5
1498068,36,3
1498070,82,7
1498145,60,5
1498156,74,6
1498160,50,4
1498161,60,5
1498165,12,1
1498170,27,2
1498172,48,4
1498180,48,4
1498191,2,0
1498243,24,2
1498244,12,1
1498274,60,5
1498284,12,1
1498304,82,7
1498311,60,5
1498312,2,0
1498325,60,5
1498330,44,4
1498334,60,5
1498348,33,3
1498350,12,1
1498364,79,7
1498415,83,7
1498419,2,0
1498424,12,1
1498433,60,5
1498434,26,2
1498438,48,4
1498455,12,1
1498459,36,3
1498467,13,1
1498477,60,5
1498480,84,7
1498483,60,5
1498528,11,1
1498533,84,7
1498549,18,2
1498578,60,5
1498604,60,5
1498607,83,7
1498609,60,5
1498610,60,5
1498612,36,3
1498616,48,4
1498660,93,8
1498671,48,4
1498673,12,1
1498677,36,3
1498681,24,2
1498722,60,5
1498724,81,7
1498725,60,5
1498728,60,5
1498730,48,4
1498733,118,10
1498738,83,7
1498739,20,2
1498791,24,2
1498796,84,7
1498881,2,0
1498885,83,7
1498887,84,7
1498916,36,3
1498937,60,5
1498953,84,7
1498955,48,4
1499022,60,5
1499032,84,7
1499037,60,5
1499043,14,1
1499045,3,0
1499057,9,1
1499058,4,0
1499079,12,1
1499094,24,2
1499097,84,7
1499112,3,0
1499114,60,5
1499118,83,7
1499120,60,5
1499155,70,6
1499156,48,4
1499161,81,7
1499163,84,7
1499196,60,5
1499198,12,1
1499235,36,3
1499252,24,2
1499253,1,0
1499256,24,2
1499259,12,1
1499271,60,5
1499276,60,5
1499321,87,7
1499366,25,2
1499374,7,1
1499383,19,2
1499386,15,1
1499426,46,4
1499428,5,0
1499440,60,5
1499461,104,9
1499568,77,6
1499583,10,1
1499610,18,2
1499617,25,2
1499618,84,7
1499625,48,4
1499626,12,1
1499630,26,2
1499652,12,1
1499660,25,2
1499692,74,6
1499706,84,7
1499720,36,3
1499722,84,7
1499730,60,5
1499744,83,7
1499749,83,7
1499778,4,0
1499779,60,5
1499780,24,2
1499790,83,7
1499803,48,4
1499810,48,4
1499813,84,7
1499828,84,7
1499830,9,1
1499837,7,1
1499846,260,22
1499867,96,8
1499878,81,7
1499916,56,5
1499945,48,4
1499949,34,3
1499956,21,2
1499984,35,3
1500008,81,7
1500023,84,7
1500039,60,5
1500068,84,7
1500095,61,5
1500131,84,7
1500132,36,3
1500139,8,1
1500176,60,5
1500187,12,1
1500191,36,3
1500195,48,4
1500198,12,1
1500212,48,4
1500215,60,5
1500216,35,3
1500217,60,5
1500219,9,1
1500272,60,5
1500294,24,2
1500328,12,1
1500335,12,1
1500393,33,3
1500394,64,5
1500418,12,1
1500433,62,5
1500455,60,5
1500464,83,7
1500466,84,7
1500467,60,5
1500475,36,3
1500481,24,2
1500539,15,1
1500554,31,3
1500569,81,7
1500574,80,7
1500579,36,3
1500582,60,5
1500603,84,7
1500608,12,1
1500610,2,0
1500623,27,2
1500624,84,7
1500634,12,1
1500637,1,0
1500640,36,3
1500672,84,7
1500677,45,4
1500717,36,3
1500783,12,1
1500787,60,5
1500800,84,7
1500805,12,1
1500808,83,7
1500812,60,5
1500838,24,2
1500845,19,2
1500847,59,5
1500849,82,7
1500871,84,7
1500918,32,3
1500934,12,1
1500972,59,5
1501003,36,3
1501039,12,1
1501048,21,2
1501050,24,2
1501053,81,7
1501110,60,5
1501112,60,5
1501114,0,0
1501139,69,6
1501143,6,1
1501154,81,7
1501163,84,7
1501169,84,7
1501175,12,1
1501181,84,7
1501183,60,5
1501216,71,6
1501227,12,1
1501231,84,7
1501234,36,3
1501235,88,7
1501240,68,6
1501257,12,1
1501259,26,2
1501266,36,3
1501281,27,2
1501285,60,5
1501290,12,1
1501291,23,2
1501328,12,1
1501346,84,7
1501359,82,7
1501361,48,4
1501362,1,0
1501381,60,5
1501404,84,7
1501405,60,5
1501406,48,4
1501408,72,6
1501419,84,7
1501434,18,2
1501439,60,5
1501445,84,7
1501452,84,7
1501453,60,5
1501470,12,1
1501498,12,1
1501504,12,1
1501526,48,4
1501547,12,1
1501549,12,1
1501554,94,8
1501560,12,1
1501576,150,13
1501602,60,5
1501629,15,1
1501641,11,1
1501674,61,5
1501675,60,5
1501743,12,1
1501745,4,0
1501749,12,1
1501778,0,0
1501786,48,4
1501791,39,3
1501793,12,1
1501847,60,5
1501848,84,7
1501886,84,7
1501906,84,7
1501942,5,0
1501947,15,1
1501949,84,7
1501954,48,4
1501958,12,1
1501963,5,0
1501971,36,3
1501984,20,2
1501985,84,7
1502002,48,4
1502009,52,4
1502016,60,5
1502054,72,6
1502062,10,1
1502065,84,7
1502069,90,8
1502079,84,7
1502088,12,1
1502130,24,2
1502148,60,5
1502149,60,5
1502163,80,7
1502170,25,2
1502171,84,7
1502190,12,1
1502209,12,1
1502211,8,1
1502228,5,0
1502263,12,1
1502299,2,0
1502304,23,2
1502318,84,7
1502323,46,4
1502329,12,1
1502394,84,7
1502399,58,5
1502404,70,6
1502430,48,4
1502452,84,7
1502454,84,7
1502474,60,5
1502476,71,6
1502509,11,1
1502512,84,7
1502538,15,1
1502544,84,7
1502562,60,5
1502582,111,9
1502600,48,4
1502612,84,7
1502613,26,2
1502617,8,1
1502621,48,4
1502648,60,5
1502652,92,8
1502672,46,4
1502681,82,7
1502684,48,4
1502694,60,5
1502697,72,6
1502702,22,2
1502752,48,4
1502753,48,4
1502759,48,4
1502785,83,7
1502793,42,4
1502842,90,8
1502908,83,7
1502909,2,0
1502914,84,7
1502944,12,1
1502946,12,1
1502952,109,9
1502961,1,0
1502962,12,1
1502979,84,7
1502992,15,1
1503019,95,8
1503022,84,7
1503023,48,4
1503037,36,3
1503042,36,3
1503045,3,0
1503046,15,1
1503066,84,7
1503067,5,0
1503071,81,7
1503083,12,1
1503110,60,5
1503141,41,3
1503152,12,1
1503167,60,5
1503205,36,3
1503213,4,0
1503218,77,6
1503220,48,4
1503245,83,7
1503247,60,5
1503251,9,1
1503258,60,5
1503262,12,1
1503271,36,3
1503282,12,1
1503283,76,6
1503324,60,5
1503328,84,7
1503333,84,7
1503335,43,4
1503342,2,0
1503344,48,4
1503386,22,2
1503393,84,7
1503405,61,5
1503459,83,7
1503483,83,7
1503513,48,4
1503514,12,1
1503574,22,2
1503589,48,4
1503590,50,4
1503610,60,5
1503622,12,1
1503652,70,6
1503662,59,5
1503690,60,5
1503709,36,3
1503714,60,5
1503717,35,3
1503735,1,0
1503773,12,1
1503787,41,3
1503788,48,4
1503809,48,4
1503819,36,3
1503893,60,5
1503929,60,5
1503968,15,1
1503973,60,5
1503977,60,5
1503979,20,2
1503981,60,5
1503982,60,5
1503989,60,5
1503998,84,7
1504000,60,5
1504030,40,3
1504071,60,5
1504082,82,7
1504092,82,7
1504095,60,5
1504099,60,5
1504136,84,7
1504148,61,5
1504149,82,7
1504178,48,4
1504199,36,3
1504219,60,5
1504226,28,2
1504231,36,3
1504233,84,7
1504234,60,5
1504243,84,7
1504245,63,5
1504247,6,1
1504259,46,4
1504260,49,4
1504261,84,7
1504265,57,5
1504329,35,3
1504330,83,7
1504332,60,5
1504335,83,7
1504337,10,1
1504339,80,7
1504350,60,5
1504362,60,5
1504398,36,3
1504400,60,5
1504401,60,5
1504402,119,10
1504468,48,4
1504480,48,4
1504511,48,4
1504518,84,7
1504539,142,12
