EffectiveDt,EffectiveDt,TransactionBalanceAmt,VoluntaryPrepay
2014,6,58470780.17,-326838.9
2014,7,58005288.11,-463679.7
2014,8,59304990.25,-1328382.1
2014,9,60156101.04,-735050.9
2014,10,54620649.47,-1526620.3
2014,11,51673368.43,-521057.8
2014,12,52998854.73,-1173135.0
2015,1,50449966.19,-648908.7
2015,2,50530125.37,-1353545.4
2015,3,50102723.48,-1162105.0
2015,4,47322182.8,-259129.8
2015,5,43620445.8,-1566074.8
2015,6,49833182.86,-521149.4
2015,7,46908935.69,-788528.5
2015,8,48003905.0,-1031544.9
2015,9,42753837.94,-1020483.7
2015,10,42354072.41,-171723.3
2015,11,41739243.27,-178935.6
2015,12,42170319.59,-1369315.8
2016,1,38222335.32,-1343501.6
2016,2,40494303.19,-1594126.7
2016,3,37235786.93,-286895.0
2016,4,37321321.84,-178963.2
2016,5,39620302.87,-263438.1
2016,6,36491317.93,-147075.0
2016,7,30969757.42,-563974.9
2016,8,35438258.27,-1129683.8
2016,9,30986812.21,-1084229.0
2016,10,30492173.21,-1231796.6
2016,11,29521384.86,-634134.5
2016,12,30198212.14,-90530.0
2017,1,29167437.38,-247423.0
2017,2,27807529.04,-227219.5
2017,3,28703019.67,-601194.0
2017,4,28115642.25,-767863.0
2017,5,27479937.55,-517331.7
2017,6,26571099.14,-200264.0
2017,7,26695081.5,-285423.0
2017,8,25481752.26,-94311.5
2017,9,24774269.73,-218420.3
2017,10,23310800.88,-1625225.0
2017,11,21601722.8,-685749.1
2017,12,19816216.54,-568123.7
2018,1,19897006.91,0.0
2018,2,20038255.1,-110000.0
2018,3,19951532.31,-551132.2
2018,4,20467513.62,-80652.7
2018,5,18963595.39,-478787.6
2018,6,17536633.03,-201455.0
2018,7,17991027.35,-97270.4
2018,8,17406043.22,-229887.0
2018,9,15070846.14,0.0
2018,10,17391360.56,0.0
2018,11,15158598.59,-415955.1
2018,12,14839527.19,-169405.0
2019,1,14754205.89,-159412.0
2019,2,14798559.16,-1114210.0
2019,3,13457944.43,-72277.3
2019,4,14076208.54,-382145.1
2019,5,13081600.05,-826297.8
2019,6,11639314.66,-376389.0
2019,7,12140616.59,-129338.0
2019,8,11655576.99,0.0
2019,9,10762990.12,0.0
2019,10,9951870.33,-242067.4
2019,11,10016078.47,-87654.5
2019,12,9471783.82,-306277.0
2020,1,9115219.59,-105484.9
2020,2,9412787.78,-391747.0
2020,3,8494095.1,0.0
2020,4,8357191.7700000005,-68082.29999999999
2020,5,8386559.47,-23196.0
2020,6,8831761.66,0.0
2020,7,8923484.59,-208413.0
2020,8,8297623.78,-156647.0
2020,9,8168593.75,0.0
2020,10,6265617.79,-34154.2
2020,11,6614815.1,0.0
2020,12,5726546.9,-476132.2
2021,1,5297444.4,-284204.6
2021,2,5517253.8,-66724.5
2021,3,6006953.62,-37750.8
2021,4,4847197.9,-110491.0
2021,5,4609785.7,-43162.0
2021,6,5139218.46,0.0
2021,7,5064498.39,0.0
2021,8,4012954.28,0.0
2021,9,399999.0,0.0
